"Symbol";"Value";"Unit";
"REFERENCE";"SCS05-065-10";"";
"att_4a009895fbcb7eef4f283a58a";"C-Clip";"";
"SUPPLIER";"GCT";"";
"att_c3d4f87f2161bf71b0c794b13";"1.5";"";
"att_701164372aaed6e4a5dcdf482";"0.05";"";
"att_e3b27885a9aa1a84c1cdba007";"0.8";"";
"TraceParts.PartNumber";"90-21032025-047111";"";
"att_69c55ddf2919598b15c1e4c4e";"0.65";"";
"att_5dd27cf11fff87435ffdd9955";"1500";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Spring Contact Terminal, H=1.20mm, SMT, Stainless Steel";"";
"TraceParts.InstanceId";"90-21032025-047111DF7EQ78JWKKANV3V9OZZGNDAQ";"";
"TraceParts.PartTitle";"SCS05";"";
"att_7aadf846945ab0775233c8712";"Stainless Steel";"";
"att_6e45e1fe3e3a2f8ee38d16b00";"0.5";"";
"att_14f06fffb6045d633194c717f";"Surface Mount";"";
"TraceParts.PartVersion";"1.0.0";"";
"TRACEPARTS";"TRACEPARTS";"";
